[(-5.95000\cdot10^{+00}, 4.90000\cdot10^{-09}),
 (-5.90000\cdot10^{+00},-2.47000\cdot10^{-08}),
 (-5.85000\cdot10^{+00},-3.22000\cdot10^{-08}),
 (-5.80000\cdot10^{+00}, 6.18000\cdot10^{-08}),
 (-5.75000\cdot10^{+00}, 1.24000\cdot10^{-08}),
 (-5.70000\cdot10^{+00}, 3.96000\cdot10^{-08}),
 (-5.65000\cdot10^{+00},-7.40000\cdot10^{-09}),
 (-5.60000\cdot10^{+00},-1.73000\cdot10^{-08}),
 (-5.55000\cdot10^{+00},-7.40000\cdot10^{-09}),
 (-5.50000\cdot10^{+00},-3.71000\cdot10^{-08}),
 (-5.45000\cdot10^{+00}, 1.24000\cdot10^{-08}),
 (-5.40000\cdot10^{+00},-2.47000\cdot10^{-08}),
 (-5.35000\cdot10^{+00},-5.20000\cdot10^{-08}),
 (-5.30000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-5.25000\cdot10^{+00}, 7.40000\cdot10^{-09}),
 (-5.20000\cdot10^{+00}, 5.94000\cdot10^{-08}),
 (-5.15000\cdot10^{+00}, 2.50000\cdot10^{-09}),
 (-5.10000\cdot10^{+00},-2.97000\cdot10^{-08}),
 (-5.05000\cdot10^{+00}, 1.24000\cdot10^{-08}),
 (-5.00000\cdot10^{+00},-2.50000\cdot10^{-09}),
 (-4.95000\cdot10^{+00},-5.44000\cdot10^{-08}),
 (-4.90000\cdot10^{+00},-2.72000\cdot10^{-08}),
 (-4.85000\cdot10^{+00}, 7.40000\cdot10^{-09}),
 (-4.80000\cdot10^{+00},-3.22000\cdot10^{-08}),
 (-4.75000\cdot10^{+00}, 6.18000\cdot10^{-08}),
 (-4.70000\cdot10^{+00},-1.06400\cdot10^{-07}),
 (-4.65000\cdot10^{+00},-2.47000\cdot10^{-08}),
 (-4.60000\cdot10^{+00},-8.16000\cdot10^{-08}),
 (-4.55000\cdot10^{+00}, 4.90000\cdot10^{-09}),
 (-4.50000\cdot10^{+00},-6.93000\cdot10^{-08}),
 (-4.45000\cdot10^{+00}, 2.72000\cdot10^{-08}),
 (-4.40000\cdot10^{+00},-1.06400\cdot10^{-07}),
 (-4.35000\cdot10^{+00},-4.45000\cdot10^{-08}),
 (-4.30000\cdot10^{+00},-4.21000\cdot10^{-08}),
 (-4.25000\cdot10^{+00}, 2.97000\cdot10^{-08}),
 (-4.20000\cdot10^{+00}, 1.98000\cdot10^{-08}),
 (-4.15000\cdot10^{+00},-1.98000\cdot10^{-08}),
 (-4.10000\cdot10^{+00},-0.00000\cdot10^{-00}),
 (-4.05000\cdot10^{+00},-3.96000\cdot10^{-08}),
 (-4.00000\cdot10^{+00},-3.71000\cdot10^{-08}),
 (-3.95000\cdot10^{+00},-1.24000\cdot10^{-08}),
 (-3.90000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-3.85000\cdot10^{+00},-3.22000\cdot10^{-08}),
 (-3.80000\cdot10^{+00},-7.17000\cdot10^{-08}),
 (-3.75000\cdot10^{+00}, 2.50000\cdot10^{-09}),
 (-3.70000\cdot10^{+00},-3.46000\cdot10^{-08}),
 (-3.65000\cdot10^{+00},-2.50000\cdot10^{-09}),
 (-3.60000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-3.55000\cdot10^{+00},-7.67000\cdot10^{-08}),
 (-3.50000\cdot10^{+00}, 6.68000\cdot10^{-08}),
 (-3.45000\cdot10^{+00},-4.45000\cdot10^{-08}),
 (-3.40000\cdot10^{+00}, 5.44000\cdot10^{-08}),
 (-3.35000\cdot10^{+00},-1.73000\cdot10^{-08}),
 (-3.30000\cdot10^{+00},-3.22000\cdot10^{-08}),
 (-3.25000\cdot10^{+00}, 7.40000\cdot10^{-09}),
 (-3.20000\cdot10^{+00},-5.69000\cdot10^{-08}),
 (-3.15000\cdot10^{+00},-2.72000\cdot10^{-08}),
 (-3.10000\cdot10^{+00}, 5.69000\cdot10^{-08}),
 (-3.05000\cdot10^{+00},-2.23000\cdot10^{-08}),
 (-3.00000\cdot10^{+00},-2.72000\cdot10^{-08}),
 (-2.95000\cdot10^{+00}, 7.40000\cdot10^{-09}),
 (-2.90000\cdot10^{+00},-4.45000\cdot10^{-08}),
 (-2.85000\cdot10^{+00}, 1.73000\cdot10^{-08}),
 (-2.80000\cdot10^{+00}, 2.72000\cdot10^{-08}),
 (-2.75000\cdot10^{+00}, 2.47000\cdot10^{-08}),
 (-2.70000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-2.65000\cdot10^{+00},-6.43000\cdot10^{-08}),
 (-2.60000\cdot10^{+00},-5.44000\cdot10^{-08}),
 (-2.55000\cdot10^{+00},-5.20000\cdot10^{-08}),
 (-2.50000\cdot10^{+00},-1.73000\cdot10^{-08}),
 (-2.45000\cdot10^{+00}, 4.90000\cdot10^{-09}),
 (-2.40000\cdot10^{+00}, 2.97000\cdot10^{-08}),
 (-2.35000\cdot10^{+00}, 1.73000\cdot10^{-08}),
 (-2.30000\cdot10^{+00}, 2.23000\cdot10^{-08}),
 (-2.25000\cdot10^{+00},-9.90000\cdot10^{-09}),
 (-2.20000\cdot10^{+00},-6.68000\cdot10^{-08}),
 (-2.15000\cdot10^{+00},-4.90000\cdot10^{-09}),
 (-2.10000\cdot10^{+00},-2.50000\cdot10^{-09}),
 (-2.05000\cdot10^{+00}, 3.46000\cdot10^{-08}),
 (-2.00000\cdot10^{+00},-6.93000\cdot10^{-08}),
 (-1.95000\cdot10^{+00}, 2.72000\cdot10^{-08}),
 (-1.90000\cdot10^{+00}, 2.72000\cdot10^{-08}),
 (-1.85000\cdot10^{+00}, 5.94000\cdot10^{-08}),
 (-1.80000\cdot10^{+00},-2.23000\cdot10^{-08}),
 (-1.75000\cdot10^{+00}, 2.23000\cdot10^{-08}),
 (-1.70000\cdot10^{+00},-0.00000\cdot10^{-00}),
 (-1.65000\cdot10^{+00}, 5.44000\cdot10^{-08}),
 (-1.60000\cdot10^{+00},-1.24000\cdot10^{-08}),
 (-1.55000\cdot10^{+00}, 9.90000\cdot10^{-09}),
 (-1.50000\cdot10^{+00},-3.71000\cdot10^{-08}),
 (-1.45000\cdot10^{+00},-9.90000\cdot10^{-09}),
 (-1.40000\cdot10^{+00}, 4.45000\cdot10^{-08}),
 (-1.35000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-1.30000\cdot10^{+00},-5.20000\cdot10^{-08}),
 (-1.25000\cdot10^{+00}, 2.47000\cdot10^{-08}),
 (-1.20000\cdot10^{+00},-7.67000\cdot10^{-08}),
 (-1.15000\cdot10^{+00},-7.17000\cdot10^{-08}),
 (-1.10000\cdot10^{+00},-3.22000\cdot10^{-08}),
 (-1.05000\cdot10^{+00},-1.48000\cdot10^{-08}),
 (-1.00000\cdot10^{+00},-5.69000\cdot10^{-08}),
 (-9.50000\cdot10^{-01}, 1.48000\cdot10^{-08}),
 (-9.00000\cdot10^{-01},-3.96000\cdot10^{-08}),
 (-8.50000\cdot10^{-01},-4.45000\cdot10^{-08}),
 (-8.00000\cdot10^{-01},-1.24000\cdot10^{-08}),
 (-7.50000\cdot10^{-01},-9.90000\cdot10^{-09}),
 (-7.00000\cdot10^{-01}, 1.73000\cdot10^{-08}),
 (-6.50000\cdot10^{-01},-3.71000\cdot10^{-08}),
 (-6.00000\cdot10^{-01}, 2.23000\cdot10^{-08}),
 (-5.50000\cdot10^{-01}, 1.06400\cdot10^{-07}),
 (-5.00000\cdot10^{-01},-0.00000\cdot10^{-00}),
 (-4.50000\cdot10^{-01}, 4.90000\cdot10^{-09}),
 (-4.00000\cdot10^{-01}, 7.40000\cdot10^{-09}),
 (-3.50000\cdot10^{-01}, 2.47000\cdot10^{-08}),
 (-3.00000\cdot10^{-01}, 7.92000\cdot10^{-08}),
 (-2.50000\cdot10^{-01}, 5.69000\cdot10^{-08}),
 (-2.00000\cdot10^{-01},-6.68000\cdot10^{-08}),
 (-1.50000\cdot10^{-01},-1.98000\cdot10^{-08}),
 (-1.00000\cdot10^{-01},-4.95000\cdot10^{-08}),
 (-5.00000\cdot10^{-02},-3.22000\cdot10^{-08}),
 (-0.00000\cdot10^{+00},-4.45000\cdot10^{-08}),
 ( 5.00000\cdot10^{-02}, 2.72000\cdot10^{-08}),
 ( 1.00000\cdot10^{-01}, 2.23000\cdot10^{-08}),
 ( 1.50000\cdot10^{-01}, 1.06400\cdot10^{-07}),
 ( 2.00000\cdot10^{-01}, 2.05300\cdot10^{-07}),
 ( 2.50000\cdot10^{-01}, 4.40400\cdot10^{-07}),
 ( 3.00000\cdot10^{-01}, 1.42750\cdot10^{-06}),
 ( 3.50000\cdot10^{-01}, 3.72080\cdot10^{-06}),
 ( 4.00000\cdot10^{-01}, 1.04003\cdot10^{-05}),
 ( 4.50000\cdot10^{-01}, 2.93085\cdot10^{-05}),
 ( 5.00000\cdot10^{-01}, 8.42121\cdot10^{-05}),
 ( 5.50000\cdot10^{-01}, 2.42000\cdot10^{-04}),
 ( 6.00000\cdot10^{-01}, 6.77000\cdot10^{-04}),
 ( 6.50000\cdot10^{-01}, 1.73000\cdot10^{-03}),
 ( 7.00000\cdot10^{-01}, 3.80300\cdot10^{-03}),
 ( 7.50000\cdot10^{-01}, 7.01000\cdot10^{-03}),
 ( 8.00000\cdot10^{-01}, 1.12490\cdot10^{-02}),
 ( 8.50000\cdot10^{-01}, 1.62880\cdot10^{-02}),
 ( 9.00000\cdot10^{-01}, 2.18980\cdot10^{-02}),
 ( 9.50000\cdot10^{-01}, 2.80050\cdot10^{-02}),
 (1.00000\cdot10^{+00}, 3.44150\cdot10^{-02})]
