[[1, 0.854022]
[2, 1.497421]
[3, 2.225344]
[4, 40.686115]
[5, 41.317172]
[6, 43.573717]
[7, 49.073576]
[8, 88.194388]
[9, 141.971336]
[10, 144.085044]
[11, 171.751491]
[12, 201.349088]
[13, 221.979868]
[14, 236.941031]
[15, 273.417478]
[16, 290.895828]
[17, 323.847778]
[18, 326.126048]
[19, 336.839118]
[20, 353.911209]
[21, 374.446632]
[22, 431.187367]
[23, 518.635071]
[24, 520.624405]
[25, 533.270931]
[26, 544.455056]
[27, 574.819812]
[28, 589.820724]
[29, 616.329166]
[30, 631.427235]
[31, 636.887524]
[32, 641.750751]
[33, 656.373823]
[34, 668.270702]
[35, 678.899833]
[36, 691.002025]
[37, 692.509067]
[38, 715.959109]
[39, 730.734044]
[40, 736.858419]
[41, 806.145016]
[42, 808.20187]
[43, 810.854512]
[44, 1063.785159]
[45, 1073.152082]
[46, 1074.253712]
[47, 1080.560656]
[48, 1088.825014]
[49, 1097.074514]
[50, 1127.945196]
[51, 1138.442622]
[52, 1167.097298]
[53, 1172.766553]
[54, 1194.773742]
[55, 1204.743997]
[56, 1220.666277]
[57, 1263.062267]
[58, 1267.030265]
[59, 1293.730864]
[60, 1329.752406]
[61, 1344.832616]
[62, 1363.551819]
[63, 1396.318998]
[64, 1402.624243]
[65, 1461.432246]
[66, 1531.979129]
[67, 1533.015592]
[68, 1535.388988]
[69, 1541.083131]
[70, 1581.389043]
[71, 1602.20912]
[72, 1629.462083]
[73, 1644.619208]
[74, 1667.557775]
[75, 1686.973356]
[76, 1702.488356]
[77, 1708.635989]
[78, 1709.173014]
[79, 1753.688442]
[80, 1754.941203]
[81, 1757.506157]
[82, 1777.887456]
[83, 1779.780483]
[84, 1783.390383]
[85, 1791.860501]
[86, 1798.186815]
[87, 1809.304306]
[88, 1836.697695]
[89, 1837.39238]
[90, 1845.954118]
[91, 1883.716965]
[92, 1895.944258]
[93, 1953.234159]
[94, 2098.500445]
[95, 2106.643527]
[96, 2112.457927]
[97, 2161.893092]
[98, 2166.547136]
[99, 2175.929009]
[100, 2190.193214]
[101, 2201.24071]
[102, 2202.048582]
[103, 2226.555023]
[104, 2236.742021]
[105, 2292.764702]
[106, 2293.576759]
[107, 2323.4952]
[108, 2377.794155]
[109, 2420.700858]
[110, 2428.853122]
[111, 2432.747594]
[112, 2445.289472]
[113, 2478.145051]
]
